Datetime,Water Level (m)
2022-12-16 18:00:00,-0.5393369
2022-12-16 19:00:00,-0.5679903
2022-12-16 20:00:00,-0.41005158
2022-12-16 21:00:00,-0.22129148
2022-12-16 22:00:00,0.012576212
2022-12-16 23:00:00,0.24056344
2022-12-17 00:00:00,0.39808872
2022-12-17 01:00:00,0.3833472
2022-12-17 02:00:00,0.2124568
2022-12-17 03:00:00,0.011297635
2022-12-17 04:00:00,-0.20327684
2022-12-17 05:00:00,-0.4103004
2022-12-17 06:00:00,-0.5964442
2022-12-17 07:00:00,-0.7401697
2022-12-17 08:00:00,-0.771674
2022-12-17 09:00:00,-0.60222286
2022-12-17 10:00:00,-0.38991925
2022-12-17 11:00:00,-0.12773153
2022-12-17 12:00:00,0.12639813
2022-12-17 13:00:00,0.3024728
2022-12-17 14:00:00,0.33289385
2022-12-17 15:00:00,0.18598972
2022-12-17 16:00:00,0.0039177
2022-12-17 17:00:00,-0.19288328
2022-12-17 18:00:00,-0.3790812
2022-12-17 19:00:00,-0.5282758
2022-12-17 20:00:00,-0.60090685
2022-12-17 21:00:00,-0.4764841
2022-12-17 22:00:00,-0.27931428
2022-12-17 23:00:00,-0.03913502
2022-12-18 00:00:00,0.19397818
2022-12-18 01:00:00,0.3633294
2022-12-18 02:00:00,0.37470663
2022-12-18 03:00:00,0.21255109
2022-12-18 04:00:00,0.014176078
2022-12-18 05:00:00,-0.20255785
2022-12-18 06:00:00,-0.41594002
2022-12-18 07:00:00,-0.6120745
2022-12-18 08:00:00,-0.7751511
2022-12-18 09:00:00,-0.8320601
2022-12-18 10:00:00,-0.6463419
2022-12-18 11:00:00,-0.40994158
2022-12-18 12:00:00,-0.110604696
2022-12-18 13:00:00,0.19783416
2022-12-18 14:00:00,0.4217696
2022-12-18 15:00:00,0.4794469
2022-12-18 16:00:00,0.32616705
2022-12-18 17:00:00,0.1270192
2022-12-18 18:00:00,-0.09306928
2022-12-18 19:00:00,-0.2985172
2022-12-18 20:00:00,-0.47461322
2022-12-18 21:00:00,-0.5863965
2022-12-18 22:00:00,-0.5173834
2022-12-18 23:00:00,-0.31244206
2022-12-19 00:00:00,-0.06983458
2022-12-19 01:00:00,0.18760674
2022-12-19 02:00:00,0.390987
2022-12-19 03:00:00,0.44525737
2022-12-19 04:00:00,0.28663096
2022-12-19 05:00:00,0.07651993
2022-12-19 06:00:00,-0.16112204
2022-12-19 07:00:00,-0.3945805
2022-12-19 08:00:00,-0.61305356
2022-12-19 09:00:00,-0.80013573
2022-12-19 10:00:00,-0.86799854
2022-12-19 11:00:00,-0.65153426
2022-12-19 12:00:00,-0.38807592
2022-12-19 13:00:00,-0.050766226
2022-12-19 14:00:00,0.29073805
2022-12-19 15:00:00,0.5450889
2022-12-19 16:00:00,0.6054662
2022-12-19 17:00:00,0.45894608
2022-12-19 18:00:00,0.24307637
2022-12-19 19:00:00,-0.0027403336
2022-12-19 20:00:00,-0.2400938
2022-12-19 21:00:00,-0.45540482
2022-12-19 22:00:00,-0.6157168
2022-12-19 23:00:00,-0.6064978
2022-12-20 00:00:00,-0.3742078
2022-12-20 01:00:00,-0.113143295
2022-12-20 02:00:00,0.18541718
2022-12-20 03:00:00,0.4278281
2022-12-20 04:00:00,0.49003792
2022-12-20 05:00:00,0.3237914
2022-12-20 06:00:00,0.10235405
2022-12-20 07:00:00,-0.1532963
2022-12-20 08:00:00,-0.40725017
2022-12-20 09:00:00,-0.6453446
2022-12-20 10:00:00,-0.84973127
2022-12-20 11:00:00,-0.9221118
2022-12-20 12:00:00,-0.67053646
2022-12-20 13:00:00,-0.37882426
2022-12-20 14:00:00,0.00017091284
2022-12-20 15:00:00,0.37765288
2022-12-20 16:00:00,0.6446269
2022-12-20 17:00:00,0.7186342
2022-12-20 18:00:00,0.53360033
2022-12-20 19:00:00,0.3030997
2022-12-20 20:00:00,0.028441971
2022-12-20 21:00:00,-0.2384038
2022-12-20 22:00:00,-0.48010957
2022-12-20 23:00:00,-0.6753321
2022-12-21 00:00:00,-0.7054384
2022-12-21 01:00:00,-0.4477308
2022-12-21 02:00:00,-0.16504383
2022-12-21 03:00:00,0.17047894
2022-12-21 04:00:00,0.44630075
2022-12-21 05:00:00,0.5140009
2022-12-21 06:00:00,0.33215073
2022-12-21 07:00:00,0.09055559
2022-12-21 08:00:00,-0.18134809
2022-12-21 09:00:00,-0.44903925
2022-12-21 10:00:00,-0.70317817
2022-12-21 11:00:00,-0.9076263
2022-12-21 12:00:00,-0.94926655
2022-12-21 13:00:00,-0.66868716
2022-12-21 14:00:00,-0.35072118
2022-12-21 15:00:00,0.054294284
2022-12-21 16:00:00,0.468725
2022-12-21 17:00:00,0.7485775
2022-12-21 18:00:00,0.8146253
2022-12-21 19:00:00,0.59774244
2022-12-21 20:00:00,0.3407637
2022-12-21 21:00:00,0.039975308
2022-12-21 22:00:00,-0.24992791
2022-12-21 23:00:00,-0.513647
2022-12-22 00:00:00,-0.7323782
2022-12-22 01:00:00,-0.75765216
2022-12-22 02:00:00,-0.4670862
2022-12-22 03:00:00,-0.15694045
2022-12-22 04:00:00,0.2080381
2022-12-22 05:00:00,0.4926293
2022-12-22 06:00:00,0.53104895
2022-12-22 07:00:00,0.31276804
2022-12-22 08:00:00,0.056670815
2022-12-22 09:00:00,-0.22421081
2022-12-22 10:00:00,-0.49954036
2022-12-22 11:00:00,-0.75876534
2022-12-22 12:00:00,-0.9623341
2022-12-22 13:00:00,-0.95036966
2022-12-22 14:00:00,-0.647971
2022-12-22 15:00:00,-0.29234943
2022-12-22 16:00:00,0.12528741
2022-12-22 17:00:00,0.5909269
2022-12-22 18:00:00,0.86012536
